"","vote_2019","gender","edu","age","province","dummy_vote"
"1318","Liberal Party","Female","Didn't graduate college","60 plus","NL",1
"1319","Conservative Party","Male","Graduated college","45 to 59","AB",0
"1320","Liberal Party","Male","Didn't graduate high school","30 to 44","QC",1
"1321","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"1322","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"1323","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1324","Conservative Party","Male","Graduated college","60 plus","AB",0
"1325","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1326","Liberal Party","Male","Graduated college","60 plus","ON",1
"1327","Conservative Party","Male","Graduated college","60 plus","ON",0
"1328","Liberal Party","Female","Graduated college","60 plus","ON",1
"1329","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"1330","Conservative Party","Female","Graduated college","30 to 44","AB",0
"1331","Liberal Party","Female","Graduated college","30 to 44","NS",1
"1332","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"1333","Liberal Party","Female","Graduated high school","18 to 29","ON",1
"1334","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1335","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"1336","Conservative Party","Male","Graduated college","60 plus","ON",0
"1337","Liberal Party","Male","Didn't graduate college","45 to 59","AB",1
"1338","Conservative Party","Male","Graduated high school","30 to 44","SK",0
"1339","Liberal Party","Male","Graduated college","60 plus","ON",1
"1340","Conservative Party","Male","Didn't graduate high school","60 plus","BC",0
"1341","Conservative Party","Female","Graduated high school","18 to 29","NL",0
"1342","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"1343","Conservative Party","Male","Didn't graduate college","30 to 44","MB",0
"1344","Liberal Party","Female","Graduated high school","60 plus","ON",1
"1345","Conservative Party","Female","Graduated college","18 to 29","AB",0
"1346","Conservative Party","Male","Graduated college","45 to 59","BC",0
"1347","Liberal Party","Male","Didn't graduate high school","45 to 59","QC",1
"1348","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1349","Conservative Party","Male","Graduated high school","18 to 29","ON",0
"1350","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"1351","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1352","Conservative Party","Female","Graduated college","18 to 29","AB",0
"1353","Conservative Party","Female","Didn't graduate college","45 to 59","QC",0
"1354","Liberal Party","Male","Graduated college","60 plus","QC",1
"1355","Liberal Party","Female","Graduated college","60 plus","QC",1
"1356","Conservative Party","Male","Graduated high school","30 to 44","SK",0
"1357","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"1358","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1359","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1360","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"1361","Liberal Party","Female","Graduated college","30 to 44","BC",1
"1362","Liberal Party","Male","Graduated college","45 to 59","QC",1
"1363","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"1364","Liberal Party","Female","Graduated college","30 to 44","BC",1
"1365","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"1366","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1367","Conservative Party","Female","Graduated college","30 to 44","ON",0
"1368","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1369","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1370","Liberal Party","Male","Graduated college","60 plus","ON",1
"1371","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"1372","Conservative Party","Female","Didn't graduate high school","30 to 44","AB",0
"1373","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1374","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1375","Conservative Party","Female","Graduated college","45 to 59","BC",0
"1376","Conservative Party","Female","Graduated college","45 to 59","MB",0
"1377","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1378","Conservative Party","Male","Graduated college","45 to 59","BC",0
"1379","Conservative Party","Male","Didn't graduate college","60 plus","SK",0
"1380","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"1381","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"1382","Conservative Party","Male","Graduated college","18 to 29","AB",0
"1383","Conservative Party","Female","Graduated college","30 to 44","BC",0
"1384","Liberal Party","Female","Graduated college","60 plus","QC",1
"1385","Conservative Party","Male","Graduated high school","60 plus","ON",0
"1386","Conservative Party","Female","Graduated college","60 plus","ON",0
"1387","Conservative Party","Male","Graduated college","60 plus","AB",0
"1388","Conservative Party","Male","Graduated college","60 plus","BC",0
"1389","Conservative Party","Male","Graduated college","18 to 29","ON",0
"1390","Liberal Party","Male","Graduated high school","60 plus","PE",1
"1391","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1392","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"1393","Conservative Party","Female","Graduated high school","18 to 29","AB",0
"1394","Conservative Party","Male","Didn't graduate college","30 to 44","QC",0
"1395","Conservative Party","Female","Graduated college","45 to 59","ON",0
"1396","Conservative Party","Female","Didn't graduate college","30 to 44","NL",0
"1397","Liberal Party","Male","Graduated college","30 to 44","QC",1
"1398","Liberal Party","Male","Graduated high school","60 plus","QC",1
"1399","Conservative Party","Male","Graduated college","60 plus","NS",0
"1400","Conservative Party","Female","Graduated high school","60 plus","AB",0
"1401","Conservative Party","Male","Graduated college","45 to 59","AB",0
"1402","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1403","Conservative Party","Male","Didn't graduate college","45 to 59","NS",0
"1404","Liberal Party","Female","Graduated college","45 to 59","BC",1
"1405","Liberal Party","Male","Graduated college","60 plus","SK",1
"1406","Conservative Party","Female","Graduated college","30 to 44","SK",0
"1407","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1408","Conservative Party","Female","Graduated high school","60 plus","QC",0
"1409","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"1410","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"1411","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1412","Liberal Party","Male","Didn't graduate college","60 plus","MB",1
"1413","Liberal Party","Female","Graduated college","60 plus","ON",1
"1414","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1415","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1416","Liberal Party","Male","Graduated high school","45 to 59","ON",1
"1417","Conservative Party","Male","Graduated college","18 to 29","ON",0
"1418","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1419","Liberal Party","Female","Graduated college","18 to 29","QC",1
"1420","Conservative Party","Male","Graduated college","60 plus","NB",0
"1421","Liberal Party","Male","Graduated high school","60 plus","ON",1
"1422","Conservative Party","Male","Graduated college","60 plus","BC",0
"1423","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"1424","Conservative Party","Female","Graduated college","60 plus","SK",0
"1425","Conservative Party","Male","Didn't graduate college","18 to 29","AB",0
"1426","Conservative Party","Female","Graduated college","60 plus","QC",0
"1427","Liberal Party","Female","Didn't graduate college","30 to 44","BC",1
"1428","Conservative Party","Male","Graduated high school","60 plus","AB",0
"1429","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"1430","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"1431","Conservative Party","Male","Graduated high school","60 plus","ON",0
"1432","Conservative Party","Female","Graduated college","18 to 29","MB",0
"1433","Liberal Party","Female","Didn't graduate high school","60 plus","QC",1
"1434","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"1435","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1436","Conservative Party","Male","Graduated college","45 to 59","AB",0
"1437","Conservative Party","Male","Graduated college","60 plus","BC",0
"1438","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1439","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1440","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1441","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"1442","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"1443","Liberal Party","Female","Didn't graduate college","30 to 44","NS",1
"1444","Liberal Party","Male","Graduated college","60 plus","BC",1
"1445","Liberal Party","Male","Graduated college","45 to 59","BC",1
"1446","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1447","Liberal Party","Female","Graduated high school","60 plus","QC",1
"1448","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1449","Liberal Party","Male","Graduated college","45 to 59","NB",1
"1450","Liberal Party","Female","Didn't graduate college","30 to 44","AB",1
"1451","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"1452","Liberal Party","Female","Didn't graduate college","60 plus","MB",1
"1453","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1454","Conservative Party","Female","Graduated college","18 to 29","ON",0
"1455","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1456","Conservative Party","Male","Graduated college","60 plus","ON",0
"1457","Conservative Party","Female","Graduated college","60 plus","BC",0
"1458","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"1459","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1460","Conservative Party","Male","Graduated college","60 plus","QC",0
"1461","Conservative Party","Male","Graduated college","45 to 59","BC",0
"1462","Liberal Party","Male","Didn't graduate high school","60 plus","QC",1
"1463","Conservative Party","Male","Didn't graduate high school","45 to 59","NB",0
"1464","Conservative Party","Male","Graduated high school","60 plus","QC",0
"1465","Liberal Party","Female","Graduated college","45 to 59","NB",1
"1466","Liberal Party","Male","Graduated college","60 plus","ON",1
"1467","Conservative Party","Female","Didn't graduate college","60 plus","MB",0
"1468","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"1469","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"1470","Liberal Party","Female","Graduated high school","30 to 44","AB",1
"1471","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1472","Conservative Party","Male","Graduated college","60 plus","BC",0
"1473","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"1474","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1475","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1476","Conservative Party","Female","Graduated college","45 to 59","ON",0
"1477","Conservative Party","Male","Didn't graduate college","60 plus","MB",0
"1478","Liberal Party","Female","Didn't graduate high school","60 plus","ON",1
"1479","Liberal Party","Female","Graduated college","60 plus","QC",1
"1480","Liberal Party","Female","Graduated college","60 plus","ON",1
"1481","Liberal Party","Female","Didn't graduate college","30 to 44","MB",1
"1482","Conservative Party","Male","Graduated college","60 plus","BC",0
"1483","Liberal Party","Male","Didn't graduate high school","18 to 29","BC",1
"1484","Liberal Party","Male","Graduated high school","45 to 59","QC",1
"1485","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1486","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"1487","Conservative Party","Male","Graduated high school","30 to 44","SK",0
"1488","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"1489","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1490","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1491","Conservative Party","Male","Graduated high school","18 to 29","ON",0
"1492","Conservative Party","Female","Graduated college","30 to 44","BC",0
"1493","Conservative Party","Female","Graduated college","60 plus","ON",0
"1494","Conservative Party","Female","Graduated high school","60 plus","SK",0
"1495","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1496","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1497","Liberal Party","Male","Didn't graduate college","18 to 29","QC",1
"1498","Conservative Party","Female","Didn't graduate high school","60 plus","AB",0
"1499","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1500","Conservative Party","Male","Graduated college","45 to 59","BC",0
"1501","Conservative Party","Female","Graduated college","18 to 29","NS",0
"1502","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"1503","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"1504","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1505","Liberal Party","Male","Graduated college","60 plus","NB",1
"1506","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1507","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1508","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1509","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1510","Liberal Party","Female","Didn't graduate college","30 to 44","AB",1
"1511","Conservative Party","Female","Graduated college","30 to 44","SK",0
"1512","Conservative Party","Male","Didn't graduate college","45 to 59","NB",0
"1513","Conservative Party","Female","Graduated college","60 plus","QC",0
"1514","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"1515","Conservative Party","Male","Graduated college","45 to 59","QC",0
"1516","Conservative Party","Male","Graduated college","18 to 29","ON",0
"1517","Liberal Party","Male","Graduated college","60 plus","ON",1
"1518","Liberal Party","Female","Graduated college","60 plus","ON",1
"1519","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"1520","Liberal Party","Male","Didn't graduate high school","30 to 44","SK",1
"1521","Liberal Party","Female","Graduated high school","60 plus","ON",1
"1522","Liberal Party","Female","Didn't graduate college","18 to 29","ON",1
"1523","Liberal Party","Female","Graduated college","30 to 44","BC",1
"1524","Liberal Party","Male","Graduated high school","60 plus","NB",1
"1525","Liberal Party","Male","Graduated college","18 to 29","ON",1
"1526","Conservative Party","Female","Graduated college","60 plus","MB",0
"1527","Liberal Party","Male","Didn't graduate college","45 to 59","NL",1
"1528","Liberal Party","Female","Graduated college","60 plus","BC",1
"1529","Liberal Party","Female","Didn't graduate college","30 to 44","BC",1
"1530","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1531","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1532","Conservative Party","Female","Graduated high school","45 to 59","QC",0
"1533","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"1534","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"1535","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"1536","Conservative Party","Male","Graduated college","60 plus","ON",0
"1537","Liberal Party","Female","Graduated college","60 plus","ON",1
"1538","Conservative Party","Male","Graduated college","60 plus","QC",0
"1539","Conservative Party","Female","Graduated college","45 to 59","SK",0
"1540","Conservative Party","Female","Didn't graduate high school","18 to 29","ON",0
"1541","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"1542","Conservative Party","Male","Graduated college","60 plus","ON",0
"1543","Liberal Party","Male","Graduated college","60 plus","ON",1
"1544","Liberal Party","Female","Graduated college","45 to 59","NL",1
"1545","Liberal Party","Male","Graduated college","45 to 59","MB",1
"1546","Conservative Party","Female","Graduated college","45 to 59","QC",0
"1547","Liberal Party","Male","Graduated high school","60 plus","ON",1
"1548","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1549","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"1550","Conservative Party","Male","Graduated college","30 to 44","QC",0
"1551","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1552","Liberal Party","Female","Graduated college","45 to 59","BC",1
"1553","Conservative Party","Male","Graduated high school","30 to 44","ON",0
"1554","Conservative Party","Male","Didn't graduate college","45 to 59","BC",0
"1555","Liberal Party","Female","Graduated college","60 plus","ON",1
"1556","Conservative Party","Female","Graduated high school","60 plus","SK",0
"1557","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"1558","Liberal Party","Male","Graduated college","18 to 29","QC",1
"1559","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"1560","Liberal Party","Male","Graduated high school","60 plus","SK",1
"1561","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"1562","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"1563","Liberal Party","Male","Graduated college","60 plus","QC",1
"1564","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"1565","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1566","Conservative Party","Female","Graduated high school","45 to 59","BC",0
"1567","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1568","Liberal Party","Male","Didn't graduate college","60 plus","NB",1
"1569","Conservative Party","Male","Didn't graduate high school","30 to 44","NL",0
"1570","Conservative Party","Male","Graduated high school","45 to 59","AB",0
"1571","Conservative Party","Male","Graduated college","18 to 29","ON",0
"1572","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"1573","Liberal Party","Female","Graduated college","60 plus","NS",1
"1574","Conservative Party","Female","Graduated college","60 plus","ON",0
"1575","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"1576","Liberal Party","Female","Graduated college","60 plus","BC",1
"1577","Conservative Party","Female","Didn't graduate college","45 to 59","MB",0
"1578","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1579","Conservative Party","Female","Graduated college","18 to 29","MB",0
"1580","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"1581","Conservative Party","Female","Graduated college","45 to 59","ON",0
"1582","Liberal Party","Female","Didn't graduate high school","45 to 59","ON",1
"1583","Conservative Party","Female","Didn't graduate college","18 to 29","MB",0
"1584","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1585","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"1586","Conservative Party","Female","Didn't graduate college","45 to 59","MB",0
"1587","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1588","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"1589","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1590","Conservative Party","Male","Graduated college","30 to 44","BC",0
"1591","Liberal Party","Female","Graduated college","45 to 59","BC",1
"1592","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"1593","Liberal Party","Male","Didn't graduate college","60 plus","BC",1
"1594","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1595","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1596","Conservative Party","Male","Graduated high school","30 to 44","AB",0
"1597","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1598","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"1599","Liberal Party","Female","Graduated college","60 plus","ON",1
"1600","Liberal Party","Male","Graduated college","45 to 59","NB",1
"1601","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"1602","Conservative Party","Female","Didn't graduate college","45 to 59","PE",0
"1603","Liberal Party","Female","Graduated college","18 to 29","NS",1
"1604","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"1605","Liberal Party","Female","Graduated college","30 to 44","NB",1
"1606","Liberal Party","Male","Graduated college","60 plus","QC",1
"1607","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"1608","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"1609","Liberal Party","Female","Graduated college","60 plus","ON",1
"1610","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1611","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1612","Conservative Party","Female","Graduated college","60 plus","BC",0
"1613","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1614","Liberal Party","Male","Didn't graduate college","30 to 44","NL",1
"1615","Conservative Party","Male","Graduated college","45 to 59","AB",0
"1616","Conservative Party","Female","Graduated high school","60 plus","ON",0
"1617","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"1618","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1619","Conservative Party","Female","Graduated high school","18 to 29","AB",0
"1620","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1621","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1622","Liberal Party","Male","Graduated college","60 plus","MB",1
"1623","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1624","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1625","Liberal Party","Female","Graduated college","30 to 44","BC",1
"1626","Conservative Party","Female","Didn't graduate college","45 to 59","NL",0
"1627","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1628","Liberal Party","Male","Graduated college","30 to 44","BC",1
"1629","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1630","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"1631","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"1632","Conservative Party","Male","Graduated college","45 to 59","AB",0
"1633","Liberal Party","Female","Graduated high school","60 plus","QC",1
"1634","Conservative Party","Female","Didn't graduate college","30 to 44","MB",0
"1635","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"1636","Conservative Party","Male","Graduated college","60 plus","ON",0
"1637","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1638","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"1639","Liberal Party","Female","Didn't graduate college","30 to 44","NS",1
"1640","Liberal Party","Male","Didn't graduate college","18 to 29","QC",1
"1641","Liberal Party","Male","Graduated college","30 to 44","AB",1
"1642","Conservative Party","Male","Graduated college","60 plus","AB",0
"1643","Conservative Party","Male","Graduated college","60 plus","ON",0
"1644","Liberal Party","Female","Graduated college","45 to 59","NS",1
"1645","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"1646","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"1647","Liberal Party","Female","Didn't graduate high school","18 to 29","ON",1
"1648","Conservative Party","Female","Didn't graduate college","60 plus","SK",0
"1649","Liberal Party","Male","Graduated college","60 plus","ON",1
"1650","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1651","Liberal Party","Female","Didn't graduate college","45 to 59","SK",1
"1652","Conservative Party","Female","Graduated college","60 plus","SK",0
"1653","Conservative Party","Female","Graduated college","30 to 44","ON",0
"1654","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"1655","Conservative Party","Female","Graduated college","60 plus","BC",0
"1656","Liberal Party","Male","Didn't graduate college","60 plus","AB",1
"1657","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"1658","Liberal Party","Female","Graduated high school","60 plus","QC",1
"1659","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1660","Conservative Party","Female","Graduated high school","45 to 59","ON",0
"1661","Conservative Party","Female","Graduated college","60 plus","ON",0
"1662","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1663","Liberal Party","Male","Graduated college","45 to 59","QC",1
"1664","Conservative Party","Female","Graduated college","60 plus","AB",0
"1665","Liberal Party","Male","Graduated college","60 plus","MB",1
"1666","Liberal Party","Male","Graduated college","60 plus","ON",1
"1667","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1668","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"1669","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"1670","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1671","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1672","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"1673","Conservative Party","Female","Didn't graduate college","45 to 59","SK",0
"1674","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1675","Conservative Party","Female","Graduated college","60 plus","BC",0
"1676","Liberal Party","Male","Graduated college","60 plus","ON",1
"1677","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1678","Conservative Party","Male","Graduated college","30 to 44","NS",0
"1679","Conservative Party","Male","Graduated college","45 to 59","QC",0
"1680","Liberal Party","Male","Didn't graduate college","60 plus","BC",1
"1681","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"1682","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"1683","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1684","Conservative Party","Female","Graduated college","30 to 44","AB",0
"1685","Conservative Party","Male","Graduated high school","45 to 59","ON",0
"1686","Liberal Party","Male","Graduated college","60 plus","ON",1
"1687","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1688","Liberal Party","Male","Didn't graduate high school","60 plus","QC",1
"1689","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1690","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1691","Conservative Party","Female","Graduated high school","45 to 59","ON",0
"1692","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"1693","Conservative Party","Female","Graduated college","45 to 59","ON",0
"1694","Conservative Party","Female","Graduated college","18 to 29","AB",0
"1695","Conservative Party","Male","Didn't graduate high school","60 plus","AB",0
"1696","Conservative Party","Female","Graduated college","60 plus","AB",0
"1697","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"1698","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"1699","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1700","Conservative Party","Female","Graduated college","45 to 59","QC",0
"1701","Liberal Party","Male","Didn't graduate college","30 to 44","BC",1
"1702","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1703","Conservative Party","Male","Graduated college","60 plus","ON",0
"1704","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"1705","Conservative Party","Male","Graduated college","30 to 44","AB",0
"1706","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"1707","Liberal Party","Female","Didn't graduate college","60 plus","NS",1
"1708","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"1709","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1710","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"1711","Conservative Party","Female","Graduated college","45 to 59","QC",0
"1712","Conservative Party","Female","Graduated high school","60 plus","ON",0
"1713","Conservative Party","Female","Graduated college","60 plus","MB",0
"1714","Conservative Party","Male","Graduated college","45 to 59","QC",0
"1715","Liberal Party","Female","Graduated high school","45 to 59","BC",1
"1716","Liberal Party","Male","Didn't graduate college","60 plus","BC",1
"1717","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1718","Conservative Party","Female","Graduated college","60 plus","ON",0
"1719","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"1720","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"1721","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1722","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1723","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1724","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1725","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1726","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"1727","Liberal Party","Male","Graduated high school","30 to 44","ON",1
"1728","Conservative Party","Male","Didn't graduate college","30 to 44","AB",0
"1729","Conservative Party","Female","Graduated high school","60 plus","BC",0
"1730","Conservative Party","Female","Didn't graduate college","45 to 59","MB",0
"1731","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1732","Liberal Party","Female","Graduated high school","60 plus","ON",1
"1733","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1734","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1735","Liberal Party","Male","Graduated college","60 plus","AB",1
"1736","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1737","Conservative Party","Male","Graduated college","45 to 59","MB",0
"1738","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1739","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"1740","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"1741","Conservative Party","Male","Graduated college","60 plus","ON",0
"1742","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1743","Conservative Party","Female","Graduated high school","30 to 44","ON",0
"1744","Conservative Party","Male","Didn't graduate high school","18 to 29","BC",0
"1745","Conservative Party","Male","Didn't graduate college","45 to 59","QC",0
"1746","Conservative Party","Female","Didn't graduate high school","60 plus","ON",0
"1747","Conservative Party","Female","Graduated high school","18 to 29","AB",0
"1748","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"1749","Liberal Party","Female","Graduated college","60 plus","ON",1
"1750","Liberal Party","Male","Graduated college","30 to 44","BC",1
"1751","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"1752","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1753","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1754","Conservative Party","Female","Graduated high school","60 plus","ON",0
