"","vote_2019","gender","edu","age","province","dummy_vote"
"767","Liberal Party","Male","Graduated college","45 to 59","ON",1
"768","Liberal Party","Male","Graduated college","30 to 44","ON",1
"769","Conservative Party","Male","Graduated college","45 to 59","BC",0
"770","Liberal Party","Female","Graduated college","30 to 44","ON",1
"771","Conservative Party","Male","Graduated college","60 plus","ON",0
"772","Liberal Party","Female","Graduated high school","18 to 29","BC",1
"773","Conservative Party","Male","Graduated college","45 to 59","ON",0
"774","Liberal Party","Female","Graduated college","60 plus","ON",1
"775","Liberal Party","Male","Graduated college","30 to 44","QC",1
"776","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"777","Liberal Party","Female","Graduated high school","45 to 59","NS",1
"778","Liberal Party","Female","Graduated college","60 plus","BC",1
"779","Conservative Party","Female","Didn't graduate high school","45 to 59","ON",0
"780","Liberal Party","Male","Graduated college","60 plus","QC",1
"781","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"782","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"783","Liberal Party","Female","Graduated college","18 to 29","ON",1
"784","Liberal Party","Female","Graduated college","45 to 59","AB",1
"785","Conservative Party","Female","Graduated college","18 to 29","ON",0
"786","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"787","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"788","Conservative Party","Male","Graduated high school","60 plus","MB",0
"789","Liberal Party","Male","Graduated college","60 plus","NB",1
"790","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"791","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"792","Conservative Party","Male","Graduated college","30 to 44","QC",0
"793","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"794","Liberal Party","Female","Graduated college","30 to 44","SK",1
"795","Conservative Party","Female","Graduated college","45 to 59","ON",0
"796","Liberal Party","Male","Graduated college","60 plus","AB",1
"797","Conservative Party","Female","Graduated college","45 to 59","ON",0
"798","Liberal Party","Female","Graduated college","60 plus","BC",1
"799","Liberal Party","Female","Didn't graduate college","45 to 59","MB",1
"800","Liberal Party","Female","Graduated college","30 to 44","SK",1
"801","Conservative Party","Male","Graduated high school","60 plus","ON",0
"802","Liberal Party","Female","Graduated college","60 plus","QC",1
"803","Conservative Party","Male","Graduated college","60 plus","AB",0
"804","Liberal Party","Female","Graduated high school","60 plus","ON",1
"805","Liberal Party","Male","Didn't graduate college","60 plus","BC",1
"806","Conservative Party","Female","Graduated high school","18 to 29","AB",0
"807","Conservative Party","Male","Graduated college","60 plus","AB",0
"808","Conservative Party","Male","Graduated college","45 to 59","ON",0
"809","Liberal Party","Female","Graduated college","60 plus","ON",1
"810","Liberal Party","Female","Graduated college","60 plus","QC",1
"811","Liberal Party","Male","Graduated college","45 to 59","NU",1
"812","Liberal Party","Male","Graduated college","60 plus","NU",1
"813","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"814","Liberal Party","Male","Graduated college","30 to 44","ON",1
"815","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"816","Liberal Party","Female","Graduated college","30 to 44","ON",1
"817","Conservative Party","Female","Didn't graduate high school","60 plus","AB",0
"818","Liberal Party","Male","Graduated college","45 to 59","ON",1
"819","Conservative Party","Female","Graduated college","60 plus","SK",0
"820","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"821","Liberal Party","Female","Graduated college","45 to 59","ON",1
"822","Conservative Party","Male","Graduated high school","30 to 44","ON",0
"823","Liberal Party","Male","Graduated college","45 to 59","BC",1
"824","Conservative Party","Male","Didn't graduate college","30 to 44","NL",0
"825","Liberal Party","Male","Graduated college","60 plus","BC",1
"826","Conservative Party","Male","Graduated high school","60 plus","AB",0
"827","Conservative Party","Female","Graduated college","60 plus","BC",0
"828","Conservative Party","Male","Graduated college","60 plus","SK",0
"829","Liberal Party","Female","Graduated college","18 to 29","QC",1
"830","Conservative Party","Female","Graduated high school","60 plus","SK",0
"831","Liberal Party","Male","Graduated college","60 plus","BC",1
"832","Liberal Party","Female","Graduated college","18 to 29","BC",1
"833","Liberal Party","Female","Graduated college","45 to 59","QC",1
"834","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"835","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"836","Liberal Party","Male","Graduated college","30 to 44","ON",1
"837","Conservative Party","Female","Graduated college","30 to 44","BC",0
"838","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"839","Liberal Party","Female","Graduated college","60 plus","NS",1
"840","Conservative Party","Male","Graduated college","45 to 59","BC",0
"841","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"842","Conservative Party","Male","Graduated high school","45 to 59","NB",0
"843","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"844","Liberal Party","Male","Graduated college","30 to 44","ON",1
"845","Liberal Party","Female","Graduated college","30 to 44","MB",1
"846","Liberal Party","Male","Graduated college","45 to 59","ON",1
"847","Conservative Party","Male","Graduated high school","60 plus","AB",0
"848","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"849","Conservative Party","Female","Graduated college","30 to 44","ON",0
"850","Conservative Party","Female","Graduated high school","60 plus","MB",0
"851","Conservative Party","Male","Graduated college","60 plus","ON",0
"852","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"853","Liberal Party","Female","Graduated high school","60 plus","QC",1
"854","Liberal Party","Male","Graduated high school","18 to 29","AB",1
"855","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"856","Liberal Party","Female","Graduated college","60 plus","ON",1
"857","Conservative Party","Female","Graduated college","30 to 44","ON",0
"858","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"859","Liberal Party","Female","Graduated college","18 to 29","BC",1
"860","Liberal Party","Male","Graduated high school","30 to 44","MB",1
"861","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"862","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"863","Liberal Party","Female","Graduated college","60 plus","QC",1
"864","Liberal Party","Female","Graduated college","30 to 44","ON",1
"865","Liberal Party","Female","Didn't graduate high school","18 to 29","QC",1
"866","Liberal Party","Female","Graduated college","45 to 59","BC",1
"867","Conservative Party","Female","Graduated college","30 to 44","BC",0
"868","Conservative Party","Male","Graduated college","30 to 44","AB",0
"869","Conservative Party","Male","Graduated college","60 plus","AB",0
"870","Liberal Party","Male","Didn't graduate college","45 to 59","MB",1
"871","Liberal Party","Male","Graduated college","60 plus","ON",1
"872","Liberal Party","Female","Didn't graduate high school","18 to 29","BC",1
"873","Liberal Party","Male","Didn't graduate college","18 to 29","ON",1
"874","Conservative Party","Male","Graduated college","60 plus","ON",0
"875","Conservative Party","Female","Graduated college","30 to 44","ON",0
"876","Conservative Party","Female","Graduated high school","45 to 59","QC",0
"877","Liberal Party","Female","Didn't graduate college","60 plus","MB",1
"878","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"879","Conservative Party","Male","Didn't graduate high school","18 to 29","QC",0
"880","Liberal Party","Female","Graduated college","60 plus","ON",1
"881","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"882","Conservative Party","Female","Graduated college","30 to 44","QC",0
"883","Conservative Party","Female","Graduated college","30 to 44","ON",0
"884","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"885","Conservative Party","Male","Graduated high school","60 plus","ON",0
"886","Conservative Party","Male","Graduated college","60 plus","ON",0
"887","Conservative Party","Female","Graduated college","45 to 59","ON",0
"888","Liberal Party","Female","Graduated college","60 plus","ON",1
"889","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"890","Conservative Party","Male","Didn't graduate college","30 to 44","NB",0
"891","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"892","Conservative Party","Female","Graduated college","18 to 29","ON",0
"893","Liberal Party","Male","Graduated college","60 plus","ON",1
"894","Liberal Party","Male","Graduated college","60 plus","QC",1
"895","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"896","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"897","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"898","Conservative Party","Female","Graduated college","45 to 59","ON",0
"899","Conservative Party","Female","Didn't graduate college","18 to 29","NB",0
"900","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"901","Conservative Party","Male","Graduated college","30 to 44","ON",0
"902","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"903","Liberal Party","Male","Graduated college","30 to 44","ON",1
"904","Conservative Party","Female","Didn't graduate college","30 to 44","QC",0
"905","Liberal Party","Male","Graduated high school","60 plus","ON",1
"906","Liberal Party","Female","Graduated high school","30 to 44","ON",1
"907","Liberal Party","Female","Didn't graduate college","60 plus","MB",1
"908","Conservative Party","Male","Graduated college","60 plus","BC",0
"909","Liberal Party","Female","Graduated college","18 to 29","QC",1
"910","Liberal Party","Female","Didn't graduate college","30 to 44","NS",1
"911","Conservative Party","Male","Graduated high school","30 to 44","BC",0
"912","Conservative Party","Male","Didn't graduate college","60 plus","PE",0
"913","Liberal Party","Female","Graduated college","45 to 59","ON",1
"914","Conservative Party","Male","Graduated college","45 to 59","ON",0
"915","Liberal Party","Female","Graduated college","30 to 44","NB",1
"916","Liberal Party","Female","Graduated college","60 plus","QC",1
"917","Liberal Party","Male","Graduated college","30 to 44","BC",1
"918","Conservative Party","Male","Graduated college","30 to 44","QC",0
"919","Conservative Party","Male","Graduated high school","60 plus","QC",0
"920","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"921","Liberal Party","Female","Graduated college","45 to 59","QC",1
"922","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"923","Liberal Party","Male","Didn't graduate high school","18 to 29","ON",1
"924","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"925","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"926","Conservative Party","Female","Didn't graduate college","30 to 44","SK",0
"927","Conservative Party","Female","Didn't graduate college","18 to 29","AB",0
"928","Liberal Party","Male","Didn't graduate college","60 plus","QC",1
"929","Liberal Party","Female","Graduated high school","60 plus","ON",1
"930","Conservative Party","Male","Graduated high school","30 to 44","AB",0
"931","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"932","Conservative Party","Male","Graduated college","45 to 59","AB",0
"933","Conservative Party","Male","Didn't graduate college","30 to 44","NL",0
"934","Conservative Party","Female","Graduated high school","60 plus","QC",0
"935","Liberal Party","Female","Graduated college","18 to 29","NL",1
"936","Conservative Party","Female","Didn't graduate high school","60 plus","MB",0
"937","Conservative Party","Female","Graduated college","45 to 59","ON",0
"938","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"939","Liberal Party","Female","Graduated high school","45 to 59","AB",1
"940","Conservative Party","Female","Graduated high school","18 to 29","AB",0
"941","Conservative Party","Female","Graduated high school","18 to 29","BC",0
"942","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"943","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"944","Liberal Party","Female","Graduated college","18 to 29","ON",1
"945","Liberal Party","Female","Graduated college","18 to 29","NS",1
"946","Conservative Party","Female","Graduated college","30 to 44","AB",0
"947","Liberal Party","Male","Graduated college","60 plus","BC",1
"948","Liberal Party","Male","Graduated college","45 to 59","BC",1
"949","Conservative Party","Male","Graduated college","60 plus","ON",0
"950","Conservative Party","Male","Graduated college","45 to 59","BC",0
"951","Conservative Party","Male","Graduated college","60 plus","ON",0
"952","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"953","Liberal Party","Male","Graduated college","30 to 44","QC",1
"954","Liberal Party","Female","Graduated college","45 to 59","ON",1
"955","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"956","Conservative Party","Female","Graduated high school","60 plus","BC",0
"957","Liberal Party","Female","Graduated high school","60 plus","NS",1
"958","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"959","Liberal Party","Female","Graduated college","30 to 44","ON",1
"960","Conservative Party","Male","Graduated college","60 plus","ON",0
"961","Conservative Party","Male","Graduated college","30 to 44","ON",0
"962","Liberal Party","Male","Graduated college","30 to 44","ON",1
"963","Liberal Party","Female","Graduated college","30 to 44","MB",1
"964","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"965","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"966","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"967","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"968","Conservative Party","Male","Graduated college","45 to 59","ON",0
"969","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"970","Liberal Party","Male","Graduated college","45 to 59","ON",1
"971","Conservative Party","Male","Graduated high school","60 plus","QC",0
"972","Conservative Party","Male","Graduated college","60 plus","ON",0
"973","Conservative Party","Female","Didn't graduate college","30 to 44","ON",0
"974","Conservative Party","Male","Graduated college","60 plus","ON",0
"975","Liberal Party","Female","Graduated college","18 to 29","ON",1
"976","Conservative Party","Female","Didn't graduate college","45 to 59","NL",0
"977","Conservative Party","Male","Graduated college","60 plus","BC",0
"978","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"979","Conservative Party","Male","Graduated college","30 to 44","QC",0
"980","Liberal Party","Female","Graduated college","18 to 29","AB",1
"981","Liberal Party","Female","Graduated college","60 plus","ON",1
"982","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"983","Conservative Party","Female","Graduated college","30 to 44","ON",0
"984","Liberal Party","Male","Graduated college","18 to 29","ON",1
"985","Liberal Party","Female","Graduated college","30 to 44","ON",1
"986","Liberal Party","Female","Graduated college","60 plus","ON",1
"987","Liberal Party","Male","Graduated college","60 plus","ON",1
"988","Liberal Party","Male","Graduated college","30 to 44","ON",1
"989","Conservative Party","Female","Graduated college","30 to 44","AB",0
"990","Conservative Party","Female","Graduated high school","45 to 59","ON",0
"991","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"992","Liberal Party","Female","Graduated college","60 plus","ON",1
"993","Conservative Party","Female","Didn't graduate college","60 plus","BC",0
"994","Liberal Party","Female","Graduated college","18 to 29","ON",1
"995","Conservative Party","Female","Didn't graduate college","18 to 29","QC",0
"996","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"997","Conservative Party","Female","Didn't graduate college","45 to 59","MB",0
"998","Conservative Party","Male","Graduated college","30 to 44","SK",0
"999","Conservative Party","Male","Didn't graduate college","45 to 59","AB",0
"1000","Conservative Party","Female","Graduated college","30 to 44","AB",0
"1001","Liberal Party","Male","Graduated college","18 to 29","QC",1
"1002","Conservative Party","Female","Graduated college","45 to 59","MB",0
"1003","Liberal Party","Female","Graduated college","60 plus","ON",1
"1004","Liberal Party","Female","Graduated college","60 plus","BC",1
"1005","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1006","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"1007","Liberal Party","Male","Didn't graduate college","45 to 59","ON",1
"1008","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1009","Liberal Party","Male","Graduated college","60 plus","QC",1
"1010","Liberal Party","Male","Graduated college","18 to 29","ON",1
"1011","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1012","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"1013","Conservative Party","Male","Graduated college","60 plus","ON",0
"1014","Liberal Party","Female","Graduated high school","30 to 44","QC",1
"1015","Conservative Party","Female","Graduated high school","60 plus","AB",0
"1016","Conservative Party","Female","Graduated high school","45 to 59","AB",0
"1017","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1018","Conservative Party","Male","Graduated high school","60 plus","AB",0
"1019","Conservative Party","Male","Graduated high school","45 to 59","NB",0
"1020","Liberal Party","Male","Didn't graduate college","45 to 59","NS",1
"1021","Liberal Party","Male","Graduated college","30 to 44","QC",1
"1022","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"1023","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"1024","Conservative Party","Female","Didn't graduate college","30 to 44","AB",0
"1025","Conservative Party","Female","Graduated college","18 to 29","SK",0
"1026","Liberal Party","Male","Graduated college","18 to 29","ON",1
"1027","Liberal Party","Female","Didn't graduate college","60 plus","MB",1
"1028","Conservative Party","Male","Graduated high school","60 plus","ON",0
"1029","Liberal Party","Male","Graduated college","45 to 59","QC",1
"1030","Liberal Party","Male","Graduated college","60 plus","BC",1
"1031","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"1032","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1033","Conservative Party","Male","Graduated college","60 plus","ON",0
"1034","Conservative Party","Male","Didn't graduate high school","60 plus","ON",0
"1035","Conservative Party","Female","Graduated college","60 plus","ON",0
"1036","Conservative Party","Female","Graduated college","30 to 44","ON",0
"1037","Liberal Party","Male","Graduated college","60 plus","QC",1
"1038","Conservative Party","Female","Didn't graduate high school","60 plus","AB",0
"1039","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1040","Conservative Party","Female","Graduated college","30 to 44","BC",0
"1041","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1042","Conservative Party","Male","Didn't graduate college","60 plus","QC",0
"1043","Liberal Party","Female","Didn't graduate college","18 to 29","QC",1
"1044","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1045","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1046","Conservative Party","Male","Graduated college","30 to 44","ON",0
"1047","Conservative Party","Female","Graduated college","30 to 44","QC",0
"1048","Conservative Party","Male","Graduated college","60 plus","ON",0
"1049","Conservative Party","Female","Graduated college","45 to 59","QC",0
"1050","Liberal Party","Male","Didn't graduate college","60 plus","AB",1
"1051","Liberal Party","Female","Graduated college","45 to 59","NL",1
"1052","Liberal Party","Female","Graduated college","60 plus","MB",1
"1053","Liberal Party","Female","Graduated college","60 plus","ON",1
"1054","Liberal Party","Female","Graduated college","60 plus","QC",1
"1055","Liberal Party","Female","Didn't graduate high school","18 to 29","ON",1
"1056","Liberal Party","Female","Graduated college","60 plus","AB",1
"1057","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"1058","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"1059","Liberal Party","Female","Graduated college","60 plus","ON",1
"1060","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1061","Liberal Party","Male","Graduated high school","45 to 59","BC",1
"1062","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1063","Conservative Party","Male","Graduated college","60 plus","AB",0
"1064","Conservative Party","Male","Didn't graduate college","18 to 29","AB",0
"1065","Liberal Party","Female","Didn't graduate college","18 to 29","NS",1
"1066","Liberal Party","Male","Didn't graduate high school","30 to 44","QC",1
"1067","Conservative Party","Female","Graduated college","60 plus","AB",0
"1068","Liberal Party","Male","Graduated college","30 to 44","NL",1
"1069","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"1070","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"1071","Liberal Party","Male","Graduated college","18 to 29","ON",1
"1072","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1073","Conservative Party","Female","Graduated college","60 plus","QC",0
"1074","Liberal Party","Female","Didn't graduate high school","45 to 59","BC",1
"1075","Liberal Party","Male","Didn't graduate high school","30 to 44","QC",1
"1076","Conservative Party","Male","Graduated college","45 to 59","ON",0
"1077","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1078","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1079","Conservative Party","Male","Didn't graduate high school","45 to 59","SK",0
"1080","Conservative Party","Female","Graduated college","45 to 59","BC",0
"1081","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1082","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"1083","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"1084","Conservative Party","Male","Graduated high school","30 to 44","SK",0
"1085","Conservative Party","Female","Graduated college","30 to 44","ON",0
"1086","Conservative Party","Female","Graduated college","30 to 44","ON",0
"1087","Conservative Party","Female","Graduated college","30 to 44","BC",0
"1088","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1089","Conservative Party","Male","Graduated high school","45 to 59","QC",0
"1090","Liberal Party","Female","Didn't graduate college","45 to 59","MB",1
"1091","Liberal Party","Male","Graduated college","30 to 44","AB",1
"1092","Liberal Party","Male","Graduated college","45 to 59","QC",1
"1093","Liberal Party","Female","Graduated college","60 plus","QC",1
"1094","Liberal Party","Male","Graduated college","30 to 44","BC",1
"1095","Liberal Party","Male","Didn't graduate high school","18 to 29","ON",1
"1096","Liberal Party","Female","Didn't graduate college","30 to 44","QC",1
"1097","Conservative Party","Male","Graduated college","60 plus","ON",0
"1098","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"1099","Liberal Party","Female","Didn't graduate college","45 to 59","NS",1
"1100","Conservative Party","Male","Graduated high school","60 plus","QC",0
"1101","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"1102","Conservative Party","Male","Didn't graduate college","30 to 44","ON",0
"1103","Liberal Party","Female","Graduated high school","45 to 59","ON",1
"1104","Conservative Party","Female","Graduated high school","60 plus","AB",0
"1105","Conservative Party","Male","Graduated college","60 plus","AB",0
"1106","Liberal Party","Female","Graduated college","45 to 59","ON",1
"1107","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1108","Conservative Party","Female","Didn't graduate college","60 plus","ON",0
"1109","Conservative Party","Male","Graduated high school","45 to 59","AB",0
"1110","Conservative Party","Female","Didn't graduate high school","60 plus","ON",0
"1111","Liberal Party","Male","Graduated college","30 to 44","QC",1
"1112","Conservative Party","Female","Graduated college","30 to 44","ON",0
"1113","Liberal Party","Female","Graduated college","60 plus","QC",1
"1114","Liberal Party","Female","Graduated college","60 plus","ON",1
"1115","Conservative Party","Female","Graduated high school","45 to 59","ON",0
"1116","Conservative Party","Male","Graduated college","30 to 44","AB",0
"1117","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"1118","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1119","Conservative Party","Female","Graduated college","45 to 59","AB",0
"1120","Conservative Party","Female","Graduated college","30 to 44","MB",0
"1121","Liberal Party","Female","Didn't graduate college","30 to 44","ON",1
"1122","Liberal Party","Male","Graduated college","60 plus","ON",1
"1123","Conservative Party","Female","Didn't graduate high school","30 to 44","SK",0
"1124","Liberal Party","Female","Graduated high school","45 to 59","NS",1
"1125","Liberal Party","Female","Didn't graduate college","45 to 59","BC",1
"1126","Conservative Party","Male","Graduated college","60 plus","ON",0
"1127","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1128","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"1129","Conservative Party","Male","Didn't graduate college","18 to 29","AB",0
"1130","Conservative Party","Female","Didn't graduate college","18 to 29","ON",0
"1131","Liberal Party","Male","Graduated high school","30 to 44","ON",1
"1132","Liberal Party","Male","Didn't graduate high school","60 plus","QC",1
"1133","Conservative Party","Female","Didn't graduate high school","60 plus","AB",0
"1134","Liberal Party","Female","Graduated high school","45 to 59","QC",1
"1135","Conservative Party","Female","Graduated college","60 plus","BC",0
"1136","Liberal Party","Female","Graduated college","45 to 59","MB",1
"1137","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1138","Conservative Party","Male","Didn't graduate college","45 to 59","ON",0
"1139","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1140","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1141","Conservative Party","Male","Graduated college","60 plus","MB",0
"1142","Conservative Party","Male","Graduated college","60 plus","QC",0
"1143","Conservative Party","Female","Graduated college","45 to 59","QC",0
"1144","Conservative Party","Female","Graduated high school","45 to 59","QC",0
"1145","Liberal Party","Female","Graduated college","30 to 44","QC",1
"1146","Conservative Party","Female","Didn't graduate college","45 to 59","BC",0
"1147","Conservative Party","Male","Didn't graduate college","30 to 44","QC",0
"1148","Liberal Party","Male","Didn't graduate high school","18 to 29","ON",1
"1149","Liberal Party","Male","Graduated high school","60 plus","NB",1
"1150","Liberal Party","Female","Didn't graduate college","45 to 59","ON",1
"1151","Conservative Party","Male","Graduated high school","60 plus","AB",0
"1152","Liberal Party","Male","Graduated college","30 to 44","ON",1
"1153","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1154","Conservative Party","Female","Didn't graduate high school","18 to 29","ON",0
"1155","Conservative Party","Male","Graduated high school","18 to 29","AB",0
"1156","Liberal Party","Female","Graduated college","60 plus","ON",1
"1157","Liberal Party","Male","Graduated college","18 to 29","ON",1
"1158","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"1159","Conservative Party","Male","Graduated college","30 to 44","AB",0
"1160","Liberal Party","Female","Graduated college","30 to 44","BC",1
"1161","Conservative Party","Male","Didn't graduate college","60 plus","ON",0
"1162","Liberal Party","Female","Didn't graduate college","45 to 59","QC",1
"1163","Liberal Party","Female","Graduated high school","18 to 29","QC",1
"1164","Conservative Party","Male","Graduated high school","60 plus","SK",0
"1165","Liberal Party","Male","Didn't graduate college","60 plus","ON",1
"1166","Conservative Party","Male","Graduated high school","60 plus","AB",0
"1167","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1168","Liberal Party","Male","Didn't graduate college","30 to 44","ON",1
"1169","Liberal Party","Female","Graduated college","60 plus","ON",1
"1170","Conservative Party","Female","Graduated college","60 plus","AB",0
"1171","Conservative Party","Female","Didn't graduate college","45 to 59","AB",0
"1172","Conservative Party","Male","Didn't graduate high school","45 to 59","AB",0
"1173","Liberal Party","Male","Graduated college","60 plus","QC",1
"1174","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1175","Liberal Party","Female","Graduated college","18 to 29","AB",1
"1176","Liberal Party","Male","Graduated college","45 to 59","BC",1
"1177","Conservative Party","Male","Didn't graduate college","60 plus","BC",0
"1178","Conservative Party","Female","Graduated high school","60 plus","ON",0
"1179","Conservative Party","Female","Graduated college","18 to 29","QC",0
"1180","Liberal Party","Female","Graduated college","60 plus","QC",1
"1181","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1182","Liberal Party","Male","Graduated college","60 plus","ON",1
"1183","Liberal Party","Female","Graduated college","60 plus","ON",1
"1184","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"1185","Liberal Party","Female","Graduated college","18 to 29","ON",1
"1186","Liberal Party","Female","Didn't graduate high school","60 plus","ON",1
"1187","Liberal Party","Male","Didn't graduate college","30 to 44","QC",1
"1188","Conservative Party","Female","Graduated college","45 to 59","QC",0
"1189","Conservative Party","Male","Graduated college","60 plus","ON",0
"1190","Liberal Party","Male","Graduated college","30 to 44","BC",1
"1191","Liberal Party","Female","Graduated college","30 to 44","ON",1
"1192","Liberal Party","Female","Didn't graduate college","60 plus","BC",1
"1193","Liberal Party","Female","Didn't graduate college","60 plus","ON",1
"1194","Conservative Party","Female","Graduated college","45 to 59","ON",0
"1195","Conservative Party","Male","Didn't graduate high school","45 to 59","BC",0
"1196","Conservative Party","Female","Didn't graduate college","45 to 59","ON",0
"1197","Conservative Party","Female","Didn't graduate college","60 plus","AB",0
"1198","Conservative Party","Male","Graduated college","45 to 59","QC",0
"1199","Conservative Party","Female","Graduated high school","30 to 44","AB",0
"1200","Conservative Party","Female","Graduated college","18 to 29","MB",0
"1201","Liberal Party","Male","Graduated college","45 to 59","ON",1
"1202","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
"1203","Liberal Party","Female","Didn't graduate college","60 plus","QC",1
"1204","Liberal Party","Female","Graduated college","60 plus","ON",1
"1205","Liberal Party","Male","Graduated high school","18 to 29","QC",1
"1206","Liberal Party","Male","Graduated college","60 plus","QC",1
"1207","Liberal Party","Female","Graduated college","45 to 59","QC",1
"1208","Conservative Party","Male","Graduated college","60 plus","ON",0
"1209","Liberal Party","Female","Graduated college","18 to 29","AB",1
"1210","Liberal Party","Male","Graduated college","60 plus","NB",1
"1211","Liberal Party","Male","Graduated high school","18 to 29","ON",1
"1212","Conservative Party","Male","Didn't graduate college","60 plus","AB",0
